iso3,year,HCLMP
AUS,2023,0.17124161124229
AUT,2023,0.15903098881245
BEL,2023,0.16408167779446
CAN,2023,0.17478312551975
HRV,2023,0.12623111903667
CYP,2023,0.14401982724667
CZE,2023,0.15549390017986
DNK,2023,0.17677499353886
EST,2023,0.18495315313339
FIN,2023,0.1681006103754
FRA,2023,0.1621610969305
DEU,2023,0.1847433000803
GRC,2023,0.13510471582413
HKG,2023,0.16099612414837
ISL,2023,0.17057026922703
IRL,2023,0.17386642098427
ISR,2023,0.17238955199718
ITA,2023,0.1347493827343
JPN,2023,0.17074917256832
KOR,2023,0.16438841819763
LVA,2023,0.16284961998463
LTU,2023,0.1684432476759
LUX,2023,0.1717541962862
MAC,2023,0.086510099470615
MLT,2023,0.15350817143917
NLD,2023,0.16897539794445
NZL,2023,0.18136605620384
NOR,2023,0.16694670915604
PRT,2023,0.15130364894867
PRI,2023,0.13915640115738
SGP,2023,0.19519950449467
SVK,2023,0.14577409625053
SVN,2023,0.15222308039665
ESP,2023,0.14982847869396
SWE,2023,0.17112943530083
CHE,2023,0.18783612549305
TWN,2023,0.19547612965107
GBR,2023,0.1732160449028
USA,2023,0.18329772353172
ALB,2023,0.14124451577663
DZA,2023,0.13887116312981
AGO,2023,0.068584576249123
ARG,2023,0.11706056445837
ARM,2023,0.12327387928963
AZE,2023,0.14725781977177
BHS,2023,0.11516305059195
BHR,2023,0.14959295094013
BRB,2023,0.12500694394112
BLR,2023,0.13628233969212
BLZ,2023,0.12669835984707
BOL,2023,0.12119730561972
BIH,2023,0.11674146354198
BWA,2023,0.10599353164434
BRA,2023,0.115483045578
BRN,2023,0.14603245258331
BGR,2023,0.14832343161106
CPV,2023,0.11639027297497
CHL,2023,0.14446820318699
CHN,2023,0.14991983771324
COL,2023,0.13145245611668
CRI,2023,0.13781125843525
DOM,2023,0.12067542970181
ECU,2023,0.12081720679998
EGY,2023,0.11584154516459
SLV,2023,0.10380543768406
SWZ,2023,0.09002748131752
FJI,2023,0.1336997449398
GAB,2023,0.096237435936928
GEO,2023,0.13217952847481
GTM,2023,0.10476835817099
GUY,2023,0.12289647012949
HUN,2023,0.12633982300758
IND,2023,0.12388407438993
IDN,2023,0.13011275231838
IRN,2023,0.10809991508722
IRQ,2023,0.10627111792564
JAM,2023,0.12908591330051
JOR,2023,0.13241711258888
KAZ,2023,0.15728041529655
KWT,2023,0.11470254510641
LBN,2023,0.12012753635645
LBY,2023,0.10832929611206
MYS,2023,0.1687413752079
MDV,2023,0.078395500779152
MUS,2023,0.13462464511395
MEX,2023,0.13643628358841
MNG,2023,0.14172795414925
MNE,2023,0.15258705615997
MAR,2023,0.12012998759747
NAM,2023,0.12299925088882
OMN,2023,0.15812475979328
PAK,2023,0.10106925666332
PAN,2023,0.12228562682867
PRY,2023,0.10664923489094
PER,2023,0.1236862167716
PHL,2023,0.15158447623253
POL,2023,0.14379578828812
QAT,2023,0.14447437226772
MKD,2023,0.11806575208902
ROU,2023,0.1329060792923
RUS,2023,0.16315215826035
LCA,2023,0.10765907913446
VCT,2023,0.095399148762226
SAU,2023,0.17675940692425
SRB,2023,0.13631983101368
SYC,2023,0.13294424116611
ZAF,2023,0.11991155147552
LKA,2023,0.12667578458786
SUR,2023,0.11754739284515
SYR,2023,0.13206587731838
THA,2023,0.13699355721474
TTO,2023,0.12233736366034
TUN,2023,0.13190059363842
TUR,2023,0.13902553915977
UKR,2023,0.14591871201992
ARE,2023,0.15436471998692
URY,2023,0.1298596560955
VEN,2023,0.1137428060174
AFG,2023,0.047246925532818
BGD,2023,0.088801264762878
BEN,2023,0.10162904113531
BTN,2023,0.11515894532204
BFA,2023,0.07948350161314
BDI,2023,0.10841347277164
KHM,2023,0.094286002218723
CMR,2023,0.10462947934866
CAF,2023,0.032241232693195
TCD,2023,0.074399076402187
COM,2023,0.066373735666275
COG,2023,0.081752292811871
COD,2023,0.07290817797184
CIV,2023,0.10363693535328
DJI,2023,0.087826050817966
ETH,2023,0.06193008646369
GMB,2023,0.11953814327717
GHA,2023,0.11373325437307
GIN,2023,0.11629898846149
GNB,2023,0.041767321527004
HTI,2023,0.056107997894287
HND,2023,0.11314020305872
KEN,2023,0.11268864572048
KGZ,2023,0.1240059286356
LAO,2023,0.10508282482624
LSO,2023,0.096543744206429
LBR,2023,0.098636753857136
MDG,2023,0.094289295375347
MWI,2023,0.097354143857956
MLI,2023,0.079833596944809
MRT,2023,0.060743823647499
MDA,2023,0.12841439247131
MOZ,2023,0.07044755667448
MMR,2023,0.11759293824434
NPL,2023,0.10192608088255
NIC,2023,0.091381162405014
NER,2023,0.062453556805849
NGA,2023,0.093732133507729
PNG,2023,0.053996447473764
RWA,2023,0.10129887610674
STP,2023,0.073026217520237
SEN,2023,0.10097125172615
SLE,2023,0.080714195966721
SSD,2023,0.036337614059448
SDN,2023,0.070277847349644
TJK,2023,0.13889667391777
TZA,2023,0.093435727059841
TLS,2023,0.10807024687529
TGO,2023,0.078686192631721
UGA,2023,0.093090675771236
UZB,2023,0.13032296299934
VNM,2023,0.12063619494438
YEM,2023,0.07403589040041
ZMB,2023,0.11082933843136
ZWE,2023,0.09445983171463
ADVEC,2023,0.16305701606549
EME,2023,0.12735834934666
LIC,2023,0.088877751735189
APQ,2023,0.13
EUQ,2023,0.15
NMQ,2023,0.18
WE,2023,0.12
MECA,2023,0.12
SSQ,2023,0.09
EURO,2023,0.16
MAE,2023,0.17
EU,2023,0.16
AS5,2023,0.16
