iso3,year,DI
AUS,2023,0.18218323588371
AUT,2023,0.19374297559261
BEL,2023,0.17467841506004
CAN,2023,0.17194965481758
HRV,2023,0.17218679189682
CYP,2023,0.1687947511673
CZE,2023,0.169324234128
DNK,2023,0.20180732011795
EST,2023,0.2017670571804
FIN,2023,0.18607866764069
FRA,2023,0.18178890645504
DEU,2023,0.18530781567097
GRC,2023,0.15350794792175
HKG,2023,0.19949550926685
ISL,2023,0.1728314012289
IRL,2023,0.17218072712421
ISR,2023,0.17334572970867
ITA,2023,0.16825936734676
JPN,2023,0.17688120901585
KOR,2023,0.1810295432806
LVA,2023,0.16214744746685
LTU,2023,0.17740085721016
LUX,2023,0.1916915923357
MAC,2023,0.15714208781719
MLT,2023,0.16583020985126
NLD,2023,0.19096231460571
NZL,2023,0.19386158883572
NOR,2023,0.17248716950417
PRT,2023,0.15507057309151
PRI,2023,0.079394944012165
SGP,2023,0.20861737430096
SVK,2023,0.16607758402824
SVN,2023,0.1627476811409
ESP,2023,0.16955207288265
SWE,2023,0.18255545198917
CHE,2023,0.18979547917843
GBR,2023,0.18156261742115
USA,2023,0.1878224760294
ALB,2023,0.11438773572445
DZA,2023,0.082907736301422
AGO,2023,0.057157389819622
ARG,2023,0.13022059202194
ARM,2023,0.11967199295759
AZE,2023,0.11073476076126
BHS,2023,0.11173105984926
BHR,2023,0.11866585165262
BRB,2023,0.10041929036379
BLR,2023,0.14583532512188
BLZ,2023,0.092889793217182
BOL,2023,0.087617918848991
BIH,2023,0.1133346259594
BWA,2023,0.081379868090153
BRA,2023,0.13913251459599
BRN,2023,0.11878547817469
BGR,2023,0.14914529025555
CPV,2023,0.084030240774155
CHL,2023,0.14755855500698
CHN,2023,0.19010217487812
COL,2023,0.11693494021893
CRI,2023,0.11969991773367
DOM,2023,0.092551022768021
ECU,2023,0.10049203783274
EGY,2023,0.091216824948788
SLV,2023,0.084077037870884
SWZ,2023,0.06444937735796
FJI,2023,0.087259881198406
GAB,2023,0.076041668653488
GEO,2023,0.12090872973204
GTM,2023,0.077027454972267
GUY,2023,0.074100509285927
HUN,2023,0.15964402258396
IND,2023,0.10598836839199
IDN,2023,0.1195926964283
IRN,2023,0.11856913566589
IRQ,2023,0.065998829901218
JAM,2023,0.090625986456871
JOR,2023,0.093006357550621
KAZ,2023,0.15259651839733
KWT,2023,0.11507316678762
LBN,2023,0.086067266762257
LBY,2023,0.057738859206438
MYS,2023,0.14961506426334
MDV,2023,0.10230648517609
MUS,2023,0.11924779415131
MEX,2023,0.12697783112526
MNG,2023,0.12516421079636
MNE,2023,0.11362917721272
MAR,2023,0.097611799836159
NAM,2023,0.079586505889893
OMN,2023,0.11640864610672
PAK,2023,0.077373526990414
PAN,2023,0.10646378993988
PRY,2023,0.097160130739212
PER,2023,0.1119104847312
PHL,2023,0.10192369669676
POL,2023,0.16549704968929
QAT,2023,0.12675407528877
MKD,2023,0.11697588860989
ROU,2023,0.15375223755836
RUS,2023,0.15611711144447
LCA,2023,0.08181032538414
VCT,2023,0.074282713234425
SAU,2023,0.14380052685738
SRB,2023,0.14890213310719
SYC,2023,0.11425753682852
ZAF,2023,0.12399415671825
LKA,2023,0.113659709692
SUR,2023,0.08961571007967
SYR,2023,0.065049670636654
THA,2023,0.14086797833443
TTO,2023,0.093912199139595
TUN,2023,0.10872808843851
TUR,2023,0.14132933318615
UKR,2023,0.14373734593391
ARE,2023,0.1519383341074
URY,2023,0.12890385091305
VEN,2023,0.070552937686443
AFG,2023,0.045447543263435
BGD,2023,0.087450683116913
BEN,2023,0.066083803772926
BTN,2023,0.087852098047733
BFA,2023,0.056242469698191
BDI,2023,0.044495660811663
KHM,2023,0.080967277288437
CMR,2023,0.067646443843842
CAF,2023,0.01827753148973
TCD,2023,0.030288415029645
COM,2023,0.036451835185289
COG,2023,0.045607540756464
COD,2023,0.037818163633347
CIV,2023,0.081721000373363
DJI,2023,0.056495480239391
ETH,2023,0.051120802760124
GMB,2023,0.049990605562925
GHA,2023,0.088655404746532
GIN,2023,0.055005077272654
GNB,2023,0.040040176361799
HTI,2023,0.032914455980062
HND,2023,0.057422515004873
KEN,2023,0.097114026546478
KGZ,2023,0.10636062175035
LAO,2023,0.059090651571751
LSO,2023,0.072165466845036
LBR,2023,0.041458740830421
MDG,2023,0.049605626612902
MWI,2023,0.04731697961688
MLI,2023,0.05957418680191
MRT,2023,0.049121208488941
MDA,2023,0.12967915832996
MOZ,2023,0.045734252780676
MMR,2023,0.071026295423508
NPL,2023,0.07811925560236
NIC,2023,0.069994516670704
NER,2023,0.039853490889072
NGA,2023,0.079609505832195
PNG,2023,0.046358875930309
RWA,2023,0.083531677722931
STP,2023,0.059426113963127
SEN,2023,0.080233298242092
SLE,2023,0.045900296419859
SOM,2023,0.040855787694454
SSD,2023,0.015532669611275
SDN,2023,0.052748907357454
TJK,2023,0.064995378255844
TZA,2023,0.063975043594837
TLS,2023,0.075306475162506
TGO,2023,0.063108757138252
UGA,2023,0.062899269163609
UZB,2023,0.10700166970491
VNM,2023,0.14108048379421
YEM,2023,0.039775099605322
ZMB,2023,0.065099440515041
ZWE,2023,0.063585557043552
ADVEC,2023,0.17547730318247
EME,2023,0.11069856786841
LIC,2023,0.062236317317002
APQ,2023,0.13
EUQ,2023,0.16
NMQ,2023,0.18
WE,2023,0.1
MECA,2023,0.09
SSQ,2023,0.06
EURO,2023,0.17
MAE,2023,0.18
EU,2023,0.17
AS5,2023,0.14
