iso3,year,IEI
AUS,2023,0.16190110146999
AUT,2023,0.17384338378906
BEL,2023,0.17237295210361
CAN,2023,0.16084165871143
HRV,2023,0.13978588581085
CYP,2023,0.15463767945766
CZE,2023,0.15890319645405
DNK,2023,0.18168471753597
EST,2023,0.15907716751099
FIN,2023,0.17339795827866
FRA,2023,0.17228455841541
DEU,2023,0.17900575697422
GRC,2023,0.15433019399643
HKG,2023,0.17478720843792
ISL,2023,0.14988169074059
IRL,2023,0.15802650153637
ISR,2023,0.1909364014864
ITA,2023,0.16274155676365
JPN,2023,0.18212588131428
KOR,2023,0.18252864480019
LVA,2023,0.14554907381535
LTU,2023,0.14762686192989
LUX,2023,0.14967054128647
MLT,2023,0.15371489524841
NLD,2023,0.18216648697853
NZL,2023,0.15871722996235
NOR,2023,0.15901318192482
PRT,2023,0.16398896276951
SGP,2023,0.18053269386292
SVK,2023,0.13627831637859
SVN,2023,0.14198565483093
ESP,2023,0.15794710814953
SWE,2023,0.18375873565674
CHE,2023,0.17185404896736
TWN,2023,0.1292067617178
GBR,2023,0.16298899054527
USA,2023,0.18247638642788
ALB,2023,0.12576240301132
DZA,2023,0.074606649577618
AGO,2023,0.085128732025623
ARG,2023,0.088058702647686
ARM,2023,0.11540658771992
AZE,2023,0.10006237030029
BHS,2023,0.081716321408749
BHR,2023,0.14245516061783
BRB,2023,0.1241939663887
BLR,2023,0.1133942976594
BLZ,2023,0.095114596188068
BOL,2023,0.092190504074097
BIH,2023,0.1097269281745
BWA,2023,0.11399831622839
BRA,2023,0.10798208415508
BRN,2023,0.10850394517183
BGR,2023,0.13506707549095
CPV,2023,0.11245388537645
CHL,2023,0.12424724549055
CHN,2023,0.14708356559277
COL,2023,0.10329802334309
CRI,2023,0.13248217105865
DOM,2023,0.13091138005257
ECU,2023,0.092175871133804
EGY,2023,0.10302583873272
SLV,2023,0.10700375586748
SWZ,2023,0.093136429786682
FJI,2023,0.11253979802132
GAB,2023,0.079102985560894
GEO,2023,0.13233087956905
GTM,2023,0.11577283591032
GUY,2023,0.12044063210487
HUN,2023,0.13957384228706
IND,2023,0.1108129248023
IDN,2023,0.10582709312439
IRN,2023,0.087237194180489
IRQ,2023,0.036030597984791
JAM,2023,0.094660580158234
JOR,2023,0.13104628026485
KAZ,2023,0.10878692567348
KWT,2023,0.1144158244133
LBN,2023,0.13071250915527
LBY,2023,0.051114644855261
MYS,2023,0.14003576338291
MUS,2023,0.12669898569584
MEX,2023,0.13138498365879
MNG,2023,0.097375869750977
MNE,2023,0.11075311154127
MAR,2023,0.11220340430737
NAM,2023,0.098822064697742
OMN,2023,0.12507177889347
PAK,2023,0.085143156349659
PAN,2023,0.13661649823189
PRY,2023,0.097998440265656
PER,2023,0.12366377562284
PHL,2023,0.12094224989414
POL,2023,0.14140242338181
QAT,2023,0.12900191545486
MKD,2023,0.11838272958994
ROU,2023,0.14638279378414
RUS,2023,0.12401229143143
LCA,2023,0.04578272998333
VCT,2023,0.02774416655302
SAU,2023,0.1167853474617
SRB,2023,0.10888906568289
SYC,2023,0.1386039853096
ZAF,2023,0.11019236594439
LKA,2023,0.088010668754578
SUR,2023,0.10939179360867
SYR,2023,0.080602675676346
THA,2023,0.123983502388
TTO,2023,0.11194191873074
TUN,2023,0.10275694727898
TUR,2023,0.12593871355057
UKR,2023,0.099755093455315
ARE,2023,0.15091055631638
URY,2023,0.12161124497652
VEN,2023,0.068201653659344
BGD,2023,0.10748774558306
BEN,2023,0.097438856959343
BTN,2023,0.093372173607349
BFA,2023,0.080844655632973
BDI,2023,0.071255698800087
KHM,2023,0.11407965421677
CMR,2023,0.091108001768589
CAF,2023,0.090367443859577
TCD,2023,0.076035723090172
COM,2023,0.11088395863771
COG,2023,0.096450380980968
COD,2023,0.074247322976589
CIV,2023,0.080535598099232
DJI,2023,0.12005430459976
ETH,2023,0.069385670125484
GMB,2023,0.097480267286301
GHA,2023,0.088968478143215
GIN,2023,0.07930101454258
GNB,2023,0.11942091584206
HTI,2023,0.14014787971973
HND,2023,0.092143476009369
KEN,2023,0.10582538694143
KGZ,2023,0.099357306957245
LAO,2023,0.089348345994949
LSO,2023,0.081663213670254
LBR,2023,0.14990948140621
MDG,2023,0.074020609259605
MWI,2023,0.099846519529819
MLI,2023,0.07989452034235
MRT,2023,0.072679214179516
MDA,2023,0.096505768597126
MOZ,2023,0.073632478713989
MMR,2023,0.087094478309155
NPL,2023,0.08523178845644
NIC,2023,0.10762486606836
NER,2023,0.13450223207474
NGA,2023,0.091155245900154
PNG,2023,0.10327257961035
RWA,2023,0.11263725161552
SEN,2023,0.090449944138527
SLE,2023,0.090771771967411
SOM,2023,0.125
SDN,2023,0.079731129109859
TJK,2023,0.088302567601204
TZA,2023,0.10144794732332
TLS,2023,0.12503303587437
TGO,2023,0.082975745201111
UGA,2023,0.10785694420338
VNM,2023,0.11066352576017
YEM,2023,0.12013222277164
ZMB,2023,0.10277891904116
ZWE,2023,0.091692417860031
ADVEC,2023,0.15624907125647
EME,2023,0.10829687392033
LIC,2023,0.091741530840019
APQ,2023,0.12
EUQ,2023,0.15
NMQ,2023,0.17
WE,2023,0.1
MECA,2023,0.1
SSQ,2023,0.09
EURO,2023,0.16
MAE,2023,0.17
EU,2023,0.16
AS5,2023,0.13
